,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
28514,12.95,4,2,1,1,6417,10,0,0,0,0,0,0,2,0
6021,31.08,18,2,0,1,5786,18,1,1,0,0,0,0,1,0
33309,12.95,18,3,0,1,2947,10,0,0,0,0,1,0,1,0
23799,12.95,18,3,0,1,-6768,10,0,0,0,1,1,0,1,0
18791,38.85,15,3,1,0,3729,7,0,0,0,0,1,0,1,0
84045,10.36,10,3,0,1,1233,9,3,0,0,0,0,0,2,0
50435,38.85,15,3,0,1,1907,12,0,0,0,0,0,0,1,0
14172,34.95,21,3,1,0,1031,18,3,0,0,0,0,0,1,0
10255,12.95,15,2,0,1,1920,11,0,0,0,1,1,0,1,0
30950,12.95,11,3,1,1,1231,32,0,0,0,0,0,0,1,0
81429,49.95,13,2,0,0,-1820,23,0,0,0,1,1,0,1,0
30992,12.95,12,3,1,1,1462,21,2,0,0,1,1,0,2,0
72218,10.36,21,3,0,1,4986,14,0,0,0,1,1,0,1,0
48478,38.85,21,3,1,1,-1102,9,9,1,0,1,0,0,1,0
75730,49.95,10,2,0,0,-476,6,0,0,0,1,0,0,1,0
46262,12.95,12,3,0,1,-5371,9,0,0,0,0,0,0,1,0
34553,12.95,16,2,0,0,525,16,0,0,0,0,0,0,1,0
84834,38.85,10,3,1,0,2558,8,0,0,0,1,1,0,1,0
59355,49.95,18,0,0,0,-6413,7,2,0,0,1,0,0,1,0
14221,49.95,22,3,0,1,-3807,14,0,0,0,0,0,0,2,0
88123,20.72,15,2,1,1,5095,8,0,1,0,0,0,0,1,0
64283,10.36,18,0,1,1,-4706,9,9,1,0,1,1,0,4,0
94275,10.36,17,2,0,0,-859,11,4,0,0,1,1,0,1,0
39589,12.95,16,3,0,1,7481,16,0,0,0,0,1,0,2,0
92900,12.95,21,4,0,0,3111,11,0,1,0,0,0,0,1,0
35200,38.85,9,2,1,0,4039,21,0,0,0,0,1,0,2,0
88525,38.85,11,3,0,1,875,9,0,0,1,0,0,0,1,0
46661,12.95,22,2,1,0,5091,16,0,0,0,0,0,0,1,0
17716,31.08,20,0,0,1,-2647,10,3,0,0,0,0,0,2,0
18998,38.85,16,3,0,1,587,8,0,0,0,0,0,0,1,0
45306,38.85,14,0,0,1,3542,9,0,0,0,1,1,0,1,0
57219,12.95,20,2,0,1,316,8,2,1,0,0,0,0,1,0
60727,49.95,8,3,0,1,-6482,20,3,0,0,1,0,0,2,0
65991,10.36,11,3,0,1,3016,23,0,0,0,0,0,0,1,0
52254,12.95,1,3,0,1,6012,22,2,0,0,1,1,0,2,0
53759,25.9,16,3,0,1,3568,9,9,0,0,0,0,0,1,0
13302,12.95,7,3,0,1,-244,6,0,0,0,0,1,0,1,0
20830,38.85,20,3,1,0,-7344,18,5,0,0,1,1,0,1,0
23622,25.9,14,3,0,0,654,19,0,0,0,0,0,0,1,0
15000,10.36,17,3,0,0,3273,14,5,0,0,1,1,0,1,0
84982,12.95,11,2,0,1,4955,26,6,0,0,1,0,0,1,0
50257,10.36,13,3,0,1,-4425,15,0,1,0,0,0,0,1,0
85148,11.01,13,3,0,1,2223,6,0,0,0,0,0,0,2,0
43589,49.95,22,0,0,1,2324,8,1,0,0,1,0,0,1,0
38861,38.85,19,2,0,1,-2660,9,9,0,0,0,1,1,2,0
18424,38.85,12,3,0,1,3832,9,9,0,0,1,1,0,1,0
20325,49.95,14,2,0,0,-550,23,0,0,0,1,0,0,1,0
73750,11.01,10,3,0,1,-1288,19,0,0,0,0,0,0,1,0
