,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
50311,12.95,14,3,0,1,3000,6,3,0,0,0,0,0,1,0
74365,38.85,19,3,0,1,1479,6,0,0,0,1,1,0,1,0
32896,38.85,14,3,0,1,-2246,8,0,0,0,1,1,0,1,0
44031,49.95,12,3,0,0,4639,23,0,0,0,0,1,0,1,0
55240,38.85,13,3,0,0,-2356,16,0,0,0,1,0,0,1,0
78697,12.95,10,3,0,0,-6234,21,0,0,0,0,0,0,1,0
45680,10.36,19,3,1,1,2368,15,0,0,0,0,0,0,1,0
6650,31.08,13,3,1,0,1592,21,2,0,0,1,1,0,1,0
60099,25.9,14,3,0,1,-3488,7,0,0,0,0,0,0,1,0
4643,12.95,13,3,1,0,2054,15,0,0,0,1,1,0,3,0
80886,11.01,0,3,0,0,-2595,11,0,0,0,0,0,0,3,0
58159,12.95,16,1,0,0,4394,17,0,0,0,1,0,0,1,0
45007,38.85,10,3,0,0,-7445,18,0,0,0,1,0,0,2,0
5461,38.85,10,2,0,1,3340,6,0,0,0,1,1,0,1,0
33413,12.95,19,3,0,1,3696,15,0,1,0,0,0,0,1,0
36514,38.85,12,3,0,1,1937,8,0,0,0,1,0,0,1,0
82171,12.95,7,3,1,1,4110,20,0,1,0,1,1,0,1,0
50259,10.36,13,3,0,1,6716,7,4,0,0,1,0,0,2,0
19182,38.85,19,0,1,1,-3042,9,1,1,0,1,1,0,2,0
47921,10.36,14,2,0,1,1242,19,0,0,0,1,1,0,1,0
27716,38.85,12,0,0,0,-4357,17,2,0,0,1,1,0,1,0
8690,10.36,21,3,1,0,-3239,24,4,0,0,0,1,0,1,0
74876,38.85,11,3,0,0,-11072,7,3,0,0,1,0,0,1,0
83310,10.36,8,1,0,1,208,10,0,0,0,1,0,0,1,0
60974,12.95,13,2,0,1,3392,12,4,0,0,1,1,0,1,0
56916,38.85,16,2,1,0,-2476,19,2,1,0,0,0,0,1,0
31420,12.95,22,3,0,1,586,21,5,0,0,1,1,0,2,0
82400,38.85,11,0,0,1,2360,22,1,0,0,0,0,0,1,0
65474,38.85,19,0,0,1,1697,23,2,0,0,1,1,0,1,0
89162,38.85,9,3,0,0,2306,11,4,0,0,0,0,0,2,0
3182,10.36,7,3,0,1,3607,8,4,0,0,0,1,0,1,0
51107,12.95,8,3,0,1,-3575,8,0,0,1,1,1,0,1,0
56689,12.95,13,3,1,0,5332,23,0,0,0,0,0,0,1,0
48883,12.95,11,0,1,1,3471,6,0,0,0,1,0,0,3,0
641,38.85,17,0,1,0,-591,7,4,0,0,0,0,0,2,0
33524,12.95,21,3,0,1,3330,21,0,0,0,0,1,0,1,0
24485,20.72,16,2,0,1,4122,16,0,0,0,1,1,0,3,0
49583,38.85,21,3,0,1,2733,23,5,0,0,0,0,0,1,0
67413,38.85,16,3,0,1,2331,7,0,0,0,1,1,0,1,0
31957,12.95,18,2,1,1,234,17,0,0,0,0,0,0,1,0
47067,38.85,15,3,0,1,2768,9,0,1,0,0,0,0,1,0
45328,38.85,14,3,0,0,1953,18,0,0,0,0,0,0,1,0
45264,38.85,13,3,0,0,-406,16,0,0,1,1,1,0,1,0
55372,12.95,14,3,0,1,6383,14,0,0,0,0,0,0,1,0
4502,12.95,11,3,1,1,4554,24,1,0,0,0,0,0,1,0
50549,38.85,16,3,0,0,3104,23,1,0,0,1,1,0,1,0
52200,38.85,23,3,1,0,6028,22,4,1,0,1,1,0,1,0
71175,12.95,10,3,0,1,1793,8,0,1,0,0,0,0,3,0
17325,12.95,14,2,0,1,3610,7,0,0,0,0,0,0,1,0
82837,10.36,16,3,0,1,5354,9,2,0,0,0,0,0,3,0
57003,12.95,17,0,0,1,1087,19,0,0,0,1,1,0,1,0
44937,10.36,9,3,0,1,-5372,11,0,0,0,1,1,0,4,0
73476,38.85,21,1,0,0,-416,25,0,0,0,0,0,0,1,0
89624,12.95,19,2,1,1,2165,25,0,0,0,1,0,0,1,0
87953,49.95,7,0,0,0,-3608,17,0,0,0,1,1,0,1,0
23631,38.85,14,3,0,0,-2116,18,5,0,0,0,0,0,1,0
23836,12.95,19,3,1,0,5547,15,0,1,0,0,1,0,2,0
55617,12.95,17,3,1,0,-6512,23,0,0,0,1,1,0,1,0
21776,38.85,15,3,0,0,-494,17,0,0,0,0,0,0,1,0
18823,38.85,15,0,1,1,-7292,29,0,0,0,1,1,0,1,0
58006,49.95,15,2,0,1,2593,7,4,0,0,0,0,0,1,0
81689,12.95,16,2,1,1,4960,10,2,0,0,1,1,0,1,0
41406,38.85,10,2,0,0,-2563,25,0,0,0,1,0,0,1,0
72432,12.95,7,3,0,0,3883,21,0,0,0,1,1,0,1,0
44606,38.85,19,3,0,0,-10426,16,0,0,0,0,0,0,1,0
83122,12.95,21,3,1,1,2742,8,1,0,0,1,0,0,2,0
51141,12.95,8,3,1,0,5529,18,2,0,0,1,1,0,1,0
45281,11.01,13,2,0,0,-5182,10,1,0,0,0,0,0,2,0
21140,12.95,8,3,1,0,-1128,22,0,0,0,0,1,0,1,0
14973,10.36,16,2,0,1,-1345,7,4,0,0,1,1,0,1,0
28286,10.36,19,2,0,0,-5619,17,4,0,0,0,0,0,1,0
80266,20.72,13,0,0,1,-5530,6,1,0,0,0,0,0,1,0
32571,38.85,11,3,0,0,2231,21,4,0,0,0,0,0,1,0
47198,38.85,18,2,0,0,4591,7,2,0,0,1,0,0,1,0
7714,38.85,14,2,0,1,-1363,9,0,0,0,0,0,0,1,0
67489,38.85,17,2,1,0,-8814,16,2,0,0,1,1,0,1,0
28708,34.95,10,3,0,0,3470,12,0,0,0,0,0,0,2,0
31385,12.95,21,3,1,1,-790,7,0,0,0,0,0,0,1,0
46303,12.95,13,0,0,1,-4634,21,1,0,0,0,0,0,2,0
30785,10.36,4,3,0,1,1293,7,0,1,0,0,0,0,1,0
79652,12.95,20,2,0,0,-2209,20,0,0,0,0,0,0,2,0
93336,38.85,14,4,0,0,-285,9,0,0,0,1,0,0,1,0
2742,12.95,10,3,1,0,3043,8,2,0,0,0,0,0,1,0
43924,10.36,10,3,1,1,-7290,6,4,0,0,0,0,0,1,0
12261,38.85,9,2,1,0,5421,16,0,0,0,0,0,0,1,0
17323,25.9,14,2,0,1,2676,18,0,0,0,1,0,0,1,0
27807,38.85,13,2,0,0,4547,17,0,0,0,0,0,0,1,0
13325,12.95,8,3,0,1,249,9,9,0,0,1,1,1,1,0
36773,38.85,15,3,1,1,1027,22,0,0,0,1,1,0,1,0
2749,12.95,10,2,1,1,-7941,9,2,0,0,1,1,1,4,0
47772,38.85,12,3,1,1,2234,10,3,0,0,0,0,0,2,0
71783,38.85,15,2,1,0,-544,20,3,0,0,1,0,0,2,0
5793,38.85,15,3,1,0,2760,27,0,0,1,1,0,0,1,0
48128,20.72,16,2,1,0,3405,10,2,0,0,1,1,0,3,0
45107,38.85,11,3,1,0,3728,21,0,0,0,1,0,0,1,0
4104,12.95,20,3,1,0,6061,12,0,0,0,0,0,0,1,0
40539,38.85,13,3,0,1,5605,6,0,0,0,1,1,0,1,0
1622,38.85,19,3,1,1,-1355,15,4,0,0,0,1,0,1,0
70392,12.95,16,2,0,0,1489,22,0,0,0,0,0,0,1,0
87911,12.95,0,3,0,1,235,12,0,0,0,1,0,0,1,0
76349,38.85,7,2,1,1,2551,7,0,0,0,0,0,0,2,0
67344,12.95,15,3,0,1,125,9,9,0,0,1,1,0,1,0
86847,38.85,21,3,0,0,3942,23,5,0,0,0,0,0,1,0
44069,38.85,13,3,1,0,-496,24,0,0,0,1,1,0,1,0
74298,10.36,18,3,0,1,-3851,6,0,0,0,0,0,0,1,0
25888,31.08,20,0,1,1,-75,9,0,0,0,1,1,0,3,0
46530,38.85,19,0,0,0,229,17,2,0,1,0,0,0,1,0
59757,38.85,10,3,1,0,-1929,25,4,0,0,1,0,0,1,0
27114,10.36,19,3,0,1,-3479,7,2,0,0,0,0,0,1,0
16887,25.9,9,3,0,1,4539,17,0,0,0,0,0,0,1,0
132,20.72,8,0,0,1,2254,8,0,0,0,1,1,0,1,0
57340,12.95,23,0,1,1,949,8,1,0,0,0,0,0,1,0
53442,12.95,10,3,1,0,-2830,9,1,1,0,0,0,0,1,0
30366,38.85,16,3,0,1,1980,7,2,0,0,1,1,0,1,0
90659,24.95,9,3,0,0,3663,23,1,0,0,1,0,0,1,0
23153,38.85,20,3,1,0,371,9,1,0,0,0,0,0,1,0
52423,12.95,9,3,0,1,4733,13,0,0,0,1,1,0,1,0
52038,38.85,19,3,1,0,-6525,23,0,1,0,1,1,0,1,0
42403,38.85,23,3,0,1,-4618,9,9,0,0,1,0,0,2,0
25974,38.85,21,3,0,0,-5343,26,0,0,0,0,0,0,1,0
91953,12.95,20,4,1,0,-406,9,0,0,0,0,1,0,1,0
8839,12.95,0,3,1,0,-2404,8,0,0,0,1,0,0,1,0
76985,38.85,22,3,1,1,1792,6,1,0,0,1,1,0,2,0
58247,31.08,18,3,0,0,2565,24,0,0,0,1,0,0,1,0
77214,12.95,9,3,1,1,-7431,10,0,0,0,0,0,0,1,0
4556,10.36,12,3,1,1,6382,18,0,0,0,0,0,0,1,0
85142,38.85,13,3,0,1,1574,8,0,0,0,1,1,0,1,0
6060,25.9,19,1,1,1,520,7,0,0,0,1,1,0,2,0
58644,49.95,8,3,0,0,-735,22,0,0,0,1,1,0,1,0
37894,38.85,16,3,0,1,1747,8,0,0,0,0,1,0,1,0
23539,12.95,12,2,1,0,-3916,9,0,0,0,0,1,0,2,0
40874,38.85,17,0,1,1,-4921,9,9,0,0,1,0,1,3,0
81127,10.36,10,3,1,0,2819,15,2,0,0,1,1,0,1,0
46122,39.96,10,3,0,1,4537,12,4,0,0,1,1,0,2,0
38064,49.95,19,3,1,1,-4536,9,9,0,0,0,0,0,1,0
