,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
19355,38.85,21,3,1,0,-10875,15,0,0,0,1,1,0,1,0
36342,12.95,9,3,0,1,5342,13,0,1,0,0,0,0,1,0
88205,12.95,19,3,1,0,3473,15,0,0,0,1,1,0,1,0
81829,12.95,19,2,0,1,2804,11,0,0,0,0,0,0,1,0
8688,59.4,21,3,0,0,1791,20,4,0,0,1,1,0,1,0
35713,38.85,16,3,1,0,3760,11,0,0,0,1,1,0,3,0
72810,38.85,12,3,1,0,-3353,21,2,0,0,1,1,0,1,0
15556,38.85,12,2,0,1,-4366,13,0,0,0,1,1,0,2,0
85563,12.95,19,3,0,1,737,9,9,0,0,0,0,1,2,0
57158,12.95,19,2,0,1,415,21,0,0,0,0,0,0,1,0
40494,59.4,13,3,0,1,4664,21,0,0,0,0,0,0,1,0
51942,12.95,18,2,0,1,-532,9,9,0,0,0,0,0,2,0
86676,31.08,19,0,0,0,5951,23,0,0,0,0,0,0,1,0
73060,12.95,15,2,0,1,3180,18,0,0,0,0,0,0,1,0
19201,49.95,19,3,0,0,-3329,15,0,0,0,0,0,0,1,0
15826,38.85,17,3,0,0,-2862,9,2,0,0,1,0,0,1,0
63013,38.85,18,0,0,1,5377,18,0,0,0,0,0,0,1,0
38468,11.01,11,3,1,0,-612,9,1,0,0,0,0,0,2,0
15546,38.85,12,3,1,0,-6572,9,0,0,0,1,0,0,1,0
62409,49.95,11,2,1,0,4141,26,0,0,0,1,0,0,1,0
48428,12.95,20,3,0,1,2742,8,0,0,0,0,0,0,1,0
83219,20.72,23,3,0,1,6274,7,2,0,0,0,1,0,1,0
88207,12.95,19,2,0,1,2434,19,0,0,0,0,1,0,1,0
71,38.85,6,2,0,0,4460,19,0,0,0,0,0,0,1,0
54820,12.95,5,0,0,0,-1923,26,4,0,0,0,0,0,1,0
70379,12.95,16,3,0,0,5650,25,0,0,0,1,0,0,1,0
77983,38.85,17,2,0,1,2318,9,9,0,0,0,0,0,2,0
73561,10.36,2,3,1,1,7539,17,0,0,0,0,0,0,1,0
50202,12.95,13,3,0,1,4057,12,0,0,0,1,1,0,2,0
53131,12.95,19,3,1,0,5243,25,0,0,0,0,0,0,1,0
86880,38.85,22,3,1,0,-3336,16,0,0,0,1,1,0,1,0
65965,12.95,11,3,0,1,-967,10,0,0,0,0,0,0,2,0
56060,11.01,22,0,0,0,5058,6,2,0,0,0,0,0,2,0
37394,31.08,9,3,0,1,4564,9,9,0,0,1,0,0,1,0
27229,49.95,20,2,0,0,-1862,18,0,0,0,1,0,0,1,0
52518,59.4,11,3,0,0,-3885,21,0,0,0,1,0,0,1,0
60272,38.85,16,3,1,0,-204,14,0,0,0,1,0,0,2,0
26956,11.01,17,3,1,1,2410,8,3,0,0,1,0,0,1,0
23620,38.85,14,3,0,0,-2479,16,0,0,0,1,0,0,1,0
74080,49.95,14,3,1,0,470,18,4,0,0,1,1,0,1,0
27080,38.85,18,3,1,0,3422,14,4,0,0,0,0,0,1,0
22024,12.95,19,3,1,0,-6455,21,0,0,0,0,0,0,1,0
44135,25.9,13,2,0,1,-416,20,0,0,0,1,1,0,1,0
82344,33.03,10,3,0,0,377,24,4,0,0,0,0,0,1,0
37464,47.52,10,2,0,1,3330,7,1,1,0,1,1,0,1,0
61290,49.95,19,0,0,1,-3206,21,0,0,0,1,1,0,2,0
485,11.01,14,0,0,1,-291,9,0,0,0,1,1,0,2,0
66265,38.85,15,2,0,0,-549,25,4,0,0,1,1,0,1,0
3139,12.95,0,3,0,1,5571,26,0,0,0,0,0,0,1,0
10068,12.95,13,1,0,1,2714,10,0,0,0,1,0,0,1,0
84511,10.36,20,2,1,1,-2869,15,0,0,0,0,0,0,2,0
84589,49.95,22,0,1,0,-4036,17,0,0,0,1,0,0,1,0
20473,10.36,15,3,0,1,-5455,9,1,0,0,1,0,0,1,0
71731,25.9,15,2,0,1,445,20,0,0,0,1,0,0,1,0
8456,12.95,15,3,0,1,-591,21,0,0,0,0,1,0,1,0
28562,49.95,7,3,1,0,-3202,9,0,0,0,1,0,0,2,0
9297,12.95,17,3,0,1,2259,10,3,0,0,0,1,0,2,0
59079,10.36,14,1,0,0,-1215,24,0,0,0,0,0,0,1,0
79829,12.95,23,3,1,1,4064,31,0,0,0,1,1,0,1,0
91033,31.08,18,3,1,0,-4861,23,2,0,0,0,0,0,1,0
73495,10.36,22,3,1,1,4532,7,1,1,0,1,1,0,1,0
7576,38.85,12,3,0,0,3152,16,0,1,0,0,1,0,1,0
74820,12.95,11,3,1,1,-202,10,0,0,0,1,0,0,1,0
22930,38.85,16,3,0,0,-2605,18,0,0,0,0,0,0,1,0
24681,12.95,20,3,0,0,-7998,18,0,0,0,0,0,0,2,0
20988,38.85,22,2,1,0,-5165,16,0,0,0,1,0,0,1,0
27705,38.85,12,3,1,0,-5283,18,0,0,0,0,0,0,1,0
68109,38.85,14,0,0,0,5321,8,1,1,0,0,0,0,1,0
54077,12.95,6,2,1,0,527,17,0,0,0,1,1,0,1,0
84370,49.95,18,3,1,0,4698,17,2,0,0,1,0,0,1,0
176,38.85,9,3,1,0,-409,17,0,0,0,1,1,0,1,0
89301,38.85,11,2,1,0,-869,22,0,0,0,0,0,0,1,0
57790,49.95,12,0,1,0,-612,15,0,0,0,1,1,0,1,0
65288,38.85,17,3,0,0,4895,8,0,0,0,0,0,0,1,0
41260,38.85,7,3,1,0,4806,20,0,0,0,0,0,0,1,0
12380,20.72,11,3,0,0,807,7,0,0,0,0,0,0,1,0
66979,12.95,11,3,0,0,840,10,0,0,0,1,1,0,1,0
47744,38.85,12,3,0,0,-6013,20,1,0,0,0,0,0,1,0
42589,12.95,8,3,0,1,13,7,3,0,0,1,1,0,1,0
76923,59.4,20,3,0,1,6474,12,4,0,0,1,1,0,1,0
16291,12.95,11,3,0,1,-4850,6,0,0,0,0,0,0,1,0
78726,38.85,10,2,1,1,1249,9,1,0,0,1,1,0,1,0
13308,38.85,7,2,1,0,1161,10,0,0,0,1,1,0,2,0
