,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
33450,38.85,20,0,0,1,1644,9,9,0,1,1,0,0,1,0
17783,12.95,21,2,0,1,-1607,13,0,0,0,0,1,0,2,0
50266,12.95,13,1,0,0,-3036,16,0,0,0,1,1,0,3,0
28981,38.85,13,3,0,1,-4364,11,0,0,0,1,1,0,2,0
68560,12.95,22,1,0,0,5489,20,3,0,0,0,0,0,2,0
47887,38.85,13,3,1,1,2634,7,0,0,0,1,1,0,1,0
80828,38.85,22,3,1,0,-1953,16,0,0,0,1,0,0,2,0
77751,12.95,15,2,1,0,-1702,15,0,0,0,0,0,0,1,0
69524,38.85,2,0,1,0,-4883,22,0,0,0,0,0,0,1,0
48206,49.95,17,3,0,0,-1085,17,0,0,0,1,1,0,1,0
89874,38.85,0,3,1,0,3941,20,4,0,0,0,0,0,1,0
54768,49.95,0,3,1,0,2184,24,0,0,0,1,0,0,1,0
64267,12.95,18,2,1,1,1165,8,3,1,0,1,1,0,1,0
67952,12.95,11,2,1,1,2287,12,4,0,0,1,1,0,1,0
18577,59.4,13,3,1,0,2887,20,4,0,0,1,0,0,1,0
62731,38.85,14,3,0,0,5089,21,1,0,0,1,0,0,1,0
49334,12.95,17,2,0,0,-3846,16,4,0,0,1,1,0,1,0
55623,12.95,17,2,0,1,-600,9,0,0,0,0,0,0,3,0
71375,38.85,12,3,1,0,1171,26,0,1,0,0,0,0,1,0
43432,12.95,19,3,0,1,4906,10,0,1,0,1,1,0,1,0
38692,12.95,15,3,1,1,-6136,16,0,0,0,1,1,0,1,0
67161,38.85,13,3,1,0,3336,7,0,0,0,0,0,0,1,0
2886,49.95,14,3,1,0,-799,19,0,0,0,1,1,0,1,0
21914,12.95,17,3,0,1,7639,8,2,0,0,1,1,0,5,0
29383,25.9,19,3,1,1,-1166,6,0,0,0,0,0,0,1,0
88743,38.85,15,3,0,0,4448,23,0,0,0,1,1,0,1,0
77556,49.95,13,2,0,0,1509,12,0,0,0,1,1,0,1,0
81271,38.85,12,3,1,0,5426,27,0,0,0,0,0,0,1,0
21803,38.85,16,2,0,0,5601,24,0,1,0,0,0,0,1,0
67845,10.36,9,3,1,1,2376,9,0,0,0,0,0,0,1,0
24414,38.85,15,3,0,1,-1789,10,10,0,0,1,0,0,3,0
67680,12.95,21,3,1,0,3323,21,0,0,0,0,1,0,1,0
42831,38.85,11,3,1,1,4561,7,2,1,0,1,0,0,1,0
26236,12.95,8,2,1,1,5954,7,0,0,0,0,0,0,2,0
77861,38.85,16,3,0,1,2904,10,3,0,0,1,0,0,1,0
2230,12.95,14,0,0,0,1456,23,1,0,0,0,0,0,1,0
27741,11.01,12,3,0,1,1370,9,0,0,0,0,0,0,1,0
44113,10.36,13,1,0,0,564,27,0,0,0,0,0,0,1,0
55410,38.85,14,2,1,0,1872,21,0,0,0,1,1,0,1,0
39302,10.36,9,0,0,1,669,8,4,0,0,1,0,0,1,0
22516,10.36,11,3,0,1,3419,9,9,0,0,1,0,0,3,0
55236,11.65,13,0,1,0,-350,25,0,0,0,1,1,0,3,0
23601,38.85,13,3,0,1,-3151,21,4,0,0,1,1,0,2,0
1415,12.95,14,3,0,0,1524,17,0,0,0,0,0,0,1,0
35841,10.36,17,3,0,1,30,6,0,0,0,1,1,1,3,0
2589,49.95,22,3,0,0,3542,18,4,0,0,0,0,0,1,0
92821,12.95,19,4,1,0,-15348,6,2,1,0,0,0,0,1,0
12248,12.95,9,2,1,0,-8038,19,1,0,0,1,0,0,1,0
42580,49.95,8,2,0,1,2215,19,0,1,0,1,1,0,2,0
71662,12.95,14,3,0,1,-2191,10,4,0,0,1,0,0,1,0
76976,12.95,22,0,0,0,-3206,9,2,0,0,1,1,0,1,0
53145,49.95,19,3,0,0,696,20,4,0,0,1,1,0,1,0
38114,12.95,20,0,1,1,-7416,6,2,0,0,1,0,0,1,0
69355,38.85,20,3,0,0,4508,7,0,1,0,1,1,0,2,0
34513,31.08,16,3,1,1,3362,17,0,0,0,1,0,0,2,0
51231,10.36,10,3,0,1,-2514,7,4,0,0,1,1,0,2,0
56689,12.95,13,3,1,0,5332,23,0,0,0,0,0,0,1,0
81339,25.9,13,2,1,0,5713,15,2,0,0,1,1,0,2,0
68175,38.85,15,3,1,0,5422,23,0,0,0,1,1,0,1,0
75466,10.36,21,2,0,1,-3105,16,2,0,0,1,1,0,1,0
1135,10.36,10,2,0,1,305,16,0,0,0,0,0,0,1,0
